trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.013392192878975,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.82287359128333,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.67612682657523,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-51.85635549661787,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.39370039435403,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-55.64333829333821,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-21.17826538537831,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-51.2612781901489,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.96327547845891,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-48.58292299992908,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-46.81525238278394,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-21.59954090860652,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.667867399547234,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-62.898587413932916,"{0: 13, 1: 17, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-75.33674218711577,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-58.807148598217545,"{0: 20, 1: 15, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.49625189917631,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-22.854978659691866,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-43.580773537963715,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-59.57175267730763,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 1.0}",20,0,-21.32226108024026,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 1.0}",30,0,-40.90971547260636,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 1.0}",25,0,-36.95682710988507,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 1.0}",30,0,-46.93751300265742,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.55764315278258,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 1.0}",30,0,-59.648090662813345,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
