trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.27642662986756,"{0: 13, 1: 1, 2: 10, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-201.03505237126,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-69.20737051694502,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.50598053552062,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.99067909066,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,16,-55.919891916151926,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,3,-117.9686499954706,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.54142850538938,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,2,-128.53418288073127,"{0: 8, 1: 1, 2: 7, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.3656773281356,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,14,-70.80414370240743,"{0: 5, 1: 2, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-115.14063448562186,"{0: 15, 1: 5, 2: 10, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.76846799858027,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.47362519176184,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.76539722271589,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.36736506026394,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.81421543302636,"{0: 11, 1: 4, 2: 6, 3: 3, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,1,-115.32457002568115,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.63412609007557,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.85510860803195,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.83308460327095,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-64.24392937537435,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-211.3023616414845,"{0: 17, 1: 5, 2: 4, 3: 0, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-158.6310025161575,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-95.55026026837085,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-141.34552711650466,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-62.89073688595296,"{0: 18, 1: 5, 2: 0, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-140.76791171266976,"{0: 12, 1: 1, 2: 11, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-91.1792199185498,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.05638805982234,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
